idconference,name,"concat(num_autores, '&', 
num_publicacoes, '&', 
num_editions, '&', 
round(num_autores/num_editions,2), '&', 
round(num_publicacoes/num_editions,2), '&', 
round(num_autores/num_publicacoes,2))"
203,SIGGRAPH,1920&1108&19&101.05&58.32&1.73
408,ISCA,2461&1352&36&68.36&37.56&1.82
603,ICSE,3502&2248&25&140.08&89.92&1.56
1470,MOBICOM,1151&480&17&67.71&28.24&2.40
1670,SIGDOC,1071&810&22&48.68&36.82&1.32
1890,POPL,1527&1217&38&40.18&32.03&1.25
1897,SAC,9146&4500&19&481.37&236.84&2.03
1910,MICRO,1557&855&25&62.28&34.20&1.82
2444,DAC,8876&5693&48&184.92&118.60&1.56
2824,IAT,1715&909&9&190.56&101.00&1.89
2869,SIGCOMM,1593&796&24&66.38&33.17&2.00
3061,"SIGMOD Conference",4202&2669&38&110.58&70.24&1.57
3620,SIGIR,3624&2687&34&106.59&79.03&1.35
3966,PODC,1685&1403&30&56.17&46.77&1.20
4383,HSCC,846&617&15&56.40&41.13&1.37
4670,SIGUCCS,1771&1593&23&77.00&69.26&1.11
4898,CHI,5095&2819&19&268.16&148.37&1.81
4981,SIGCSE,3923&2801&27&145.30&103.74&1.40
5165,ISSAC,1100&1177&24&45.83&49.04&0.93
5207,"ACM Multimedia",5400&2928&19&284.21&154.11&1.84
5317,STOC,2159&2685&44&49.07&61.02&0.80
5334,SIGMETRICS,2083&1174&31&67.19&37.87&1.77
5411,CCS,1354&676&16&84.63&42.25&2.00
5446,CIKM,4978&2623&20&248.90&131.15&1.90
5675,KDD,3078&1699&17&181.06&99.94&1.81
